ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0008347	glial cell migration	20/2449	49/12472	0.00052347034114605	0.00480910316840179	0.00323051661286847	CDK5/P2RX4/MMP14/NTN1/LRP8/APCDD1/LAMB1/GLI3/ATP1B2/P2RY1/TREM2/GPR183/CCL3/CD9/CCL2/CCR2/SYNE2/CX3CR1/STAP1/CSF1	20
GO:0141060	disruption of anatomical structure in another organism	20/2449	49/12472	0.00052347034114605	0.00480910316840179	0.00323051661286847	NINJ1/MICA/CLEC7A/LYZ/C5/GBP1/GBP2/NKG7/GBP3/HAMP/APOL1/TREM1/CXCL6/IFNG/GZMB/PRF1/GBP5/GBP7/CCL13/S100A12	20
GO:0032835	glomerulus development	17/2449	39/12472	0.000548647447797064	0.00503177351096074	0.00338009548768991	BASP1/JAG1/CFLAR/PDGFRA/ACTA2/SULF2/BCL2/NOTCH3/PECAM1/MTSS1/PTPRO/EXT1/HES1/EDNRB/ITGB3/PDGFRB/LGR4	17
GO:0032760	positive regulation of tumor necrosis factor production	32/2449	93/12472	0.000565919193342778	0.00518130461460499	0.00348054305505284	CCL19/RIPK2/CLU/RASGRP1/MAPKAPK2/CARD9/TLR1/WNT5A/CLEC7A/TNFRSF8/LILRA5/TMEM106A/CD84/LGALS9/TLR2/SPN/IL12B/IFIH1/PYCARD/AKAP12/RIGI/IFNG/CCL3/EPHB2/CD36/ORM2/CCR2/ORM1/IL23A/LEP/THBS1/IL1A	32
GO:0031341	regulation of cell killing	33/2449	97/12472	0.000588870988675768	0.0053822406405246	0.00361552189562381	ICAM1/RASGRP1/NECTIN2/IL7R/SERPINB9/PVR/MICA/CLEC7A/HLA-DRB1/CD1D/HLA-DRA/LILRB1/LGALS9/CD1E/IL12B/CD226/LAG3/HFE/CXCL6/ITGAM/CD55/IFNG/NCR1/PRF1/CX3CR1/CR1/STAP1/IL23A/CFH/IL18RAP/CEACAM1/LEP/KLRC1	33
GO:0009116	nucleoside metabolic process	19/2449	46/12472	0.000600989382638051	0.00547431825409762	0.00367737506240039	ENPP4/ADK/DNPH1/MTAP/PGM2/ACP3/UPP1/NUDT1/NT5C3A/PNP/ADA/TK2/APRT/APOBEC3F/ADA2/UPB1/APOBEC3G/CDA/MACROD1	19
GO:0046888	negative regulation of hormone secretion	19/2449	46/12472	0.000600989382638051	0.00547431825409762	0.00367737506240039	PIM3/MIDN/ADORA1/NDUFAF2/OSM/KLF7/HADH/EDN1/FFAR2/IRS1/PDE8B/ACVR1C/UCP2/INHBA/FFAR4/LIF/LEP/CRHBP/NMB	19
GO:0010632	regulation of epithelial cell migration	55/2449	185/12472	0.000609464513019526	0.00553269818937725	0.00371659180285591	HIF1A/PFN2/INSL3/NRP2/ATP5F1A/PRCP/CXCL13/BMP10/ZC3H12A/GADD45A/RIN2/HDAC7/GPI/CD40/P2RX4/VEGFA/TGFBR2/ADGRA2/DLL4/WNT5A/VASH1/ANXA3/MAP2K3/JCAD/ENPP2/AKT3/TNF/EDN1/MIR146A/EVL/SASH1/SCARB1/MIR22/STARD13/EPB41L5/ADGRB1/APOE/IFNG/EPHA2/ATOH8/LGMN/ETS1/HBEGF/ACVRL1/SERPINF1/SPARC/ITGA2/ITGA3/PPARG/ITGB3/GATA2/HDAC9/CEACAM1/MET/THBS1	55
GO:0050851	antigen receptor-mediated signaling pathway	55/2449	185/12472	0.000609464513019526	0.00553269818937725	0.00371659180285591	PTPN2/BTN2A1/CCR7/RFTN1/RELA/RIPK2/NFKBIA/CACNB3/CD38/PHPT1/LCP2/ZC3H12A/NECTIN2/HLA-DPB1/FOSL2/EIF2B3/SLC39A10/NFKB1/TRGC1/LYN/PDE4B/INPP5D/NFKBIZ/PRKCH/SHB/HLA-DRB1/GBP1/ADA/HLA-DQB1/BCL2/PDE4D/TESPA1/CD226/TRGC2/PRAM1/CD19/LAT/MNDA/LIPA/KCNN4/BANK1/BLNK/STAP1/NFAM1/GCSAM/HHLA2/SLA2/CEACAM1/TRAT1/ITK/NFATC2/CARD11/CD79A/MIR34A/LAX1	55
GO:0001937	negative regulation of endothelial cell proliferation	16/2449	36/12472	0.000611445205376422	0.00554128683586484	0.00372236122891907	ATP5F1A/DLL4/VASH1/TNF/MIR146A/IL12B/MIR22/APOE/ATOH8/CCL2/ACVRL1/SPARC/PPARG/NGFR/THBS1/MIR34A	16
GO:0015850	organic hydroxy compound transport	53/2449	177/12472	0.000629869663512979	0.00569861810435053	0.00382804855954368	SLC5A3/GRAMD1A/NFKBIA/STARD4/CLU/ABAT/SLC29A3/AQP9/NPC1/APOC2/LDLR/SOAT1/NFKB1/TGM2/SCP2/LILRB1/ADORA2A/SLC16A1/OSBPL5/ABCA5/OSBPL3/APOC1/TTC39B/BMP6/ABCC11/SCARB1/SLC16A7/C1QTNF1/EEPD1/P2RY1/TREM2/OSBPL1A/APOE/CD36/FFAR3/ABCC3/LIPA/KCNQ1/STX1A/ABCA2/LIPG/ADORA3/SYT1/PPARG/ITGB3/SLC18B1/MSR1/ATP8B1/CEACAM1/LEP/NMB/SYT6/MAOB	53
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	38/2449	117/12472	0.000664949672783873	0.00600104163999671	0.00403120166768381	CCR7/CCL19/PIK3AP1/SEMA4D/PDGFRA/P2RX4/MAZ/PHB1/ERFE/TXN/PLXNB1/PDGFA/DDR1/OSM/HCST/CCL5/TNF/NEDD4/HIP1/PDGFC/ADAM8/FERMT2/C1QTNF1/HGF/TREM2/CCL3/CSF1R/DDR2/HBEGF/NKX3-1/CX3CR1/IL18/PDGFRB/MEIS3/CASS4/LEP/LTK/THBS1	38
GO:0018958	phenol-containing compound metabolic process	24/2449	64/12472	0.000670498505026172	0.00600104163999671	0.00403120166768381	KL/RAPGEF2/ABAT/GCNT4/PNKD/GCH1/ITGB2/WNT5A/SRD5A1/HPN/INSM1/CTSK/MAOA/DUOX2/BCL2/TG/AOC2/ITGAM/SLC16A10/CRYM/SLC7A11/HDC/MAOB/NR4A2	24
GO:0032370	positive regulation of lipid transport	24/2449	64/12472	0.000670498505026172	0.00600104163999671	0.00403120166768381	PTGES/NFKBIA/P2RX4/ERFE/RETN/ACSL1/FABP3/ACSL5/SCP2/TRIAP1/EDN1/ABCA5/PLA2R1/BMP6/C1QTNF1/EEPD1/TREM2/APOE/NKX3-1/LIPG/PPARG/FASLG/NMB/IL1A	24
GO:0006639	acylglycerol metabolic process	31/2449	90/12472	0.000671460468405499	0.00600104163999671	0.00403120166768381	INSIG2/PGS1/GK5/GPAT4/ABHD2/GK/FITM2/APOC2/AGPAT5/LDLR/SLC22A4/ACSL1/GPAM/DAGLA/PCK2/INSIG1/AVIL/PLB1/APOC1/PNPLA1/CAT/SLC27A1/SCARB1/APOE/MFSD2A/LIPA/DGAT2/GPAT2/LIPG/GPAT3/SORL1	31
GO:0045668	negative regulation of osteoblast differentiation	15/2449	33/12472	0.00067408560399171	0.00600104163999671	0.00403120166768381	NOCT/TWSG1/HDAC7/SEMA4D/SUFU/CDK6/ERFE/BAMBI/TNFAIP6/TNF/GREM1/TRPM4/PPARG/LRP5/AREG	15
GO:0071526	semaphorin-plexin signaling pathway	15/2449	33/12472	0.00067408560399171	0.00600104163999671	0.00403120166768381	ECE1/SEMA4B/NRP2/SEMA3C/SEMA4D/PLXNB1/EDN1/PLXNA1/SEMA4C/SEMA3A/SEMA3B/SEMA6B/SEMA6A/PLXNA4/MET	15
GO:0097242	amyloid-beta clearance	15/2449	33/12472	0.00067408560399171	0.00600104163999671	0.00403120166768381	CLU/CYP51A1/HMGCR/LDLR/ITGB2/TNF/ITGAM/TREM2/APOE/IFNG/CD36/MME/MSR1/LRP4/MIR34A	15
GO:0006910	phagocytosis, recognition	9/2449	15/12472	0.000675621379559002	0.00600104163999671	0.00403120166768381	CLEC7A/SCARB1/ADGRB1/FCN1/TREM2/CD36/FCN2/PTX3/COLEC12	9
