category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	37/1346	142/9378	0.000161078159593238	0.00141346085043066	0.00103429134054605	8651/5970/5533/4792/9021/4286/4791/3937/23547/7048/2355/5971/54/4790/5600/10454/353514/10000/10859/1513/11024/7124/8061/4982/10288/79168/54209/3458/1436/2212/29760/5468/3690/3710/4773/1435/3552	37
Metabolism	Lipid metabolism	hsa00100	Steroid biosynthesis	10/1346	20/9378	0.000167481132494344	0.00143380189037841	0.00104917577223671	4047/6307/6713/6309/2222/1595/6646/1717/1594/3988	10
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	77/1346	362/9378	0.000177427806752426	0.00148278952785956	0.00108502217663138	3909/22801/5970/3918/4170/3678/2309/3685/3718/23239/2790/118788/23566/200186/5156/29941/7422/1017/54541/3575/1021/4790/3914/92579/5154/5106/7039/7157/10000/5008/3559/596/3680/7097/56034/1291/3912/3696/94235/7450/1978/2793/54331/3082/7448/10161/3574/3667/930/1436/1969/3655/6446/3673/1277/2069/3675/9134/3690/1944/5159/1293/3676/3693/4804/356/894/3672/374/3164/4233/55970/3911/7057/3560/1435/2846	77
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	22/1346	70/9378	0.000204351161929463	0.00166807576365678	0.00122060424751014	941/3383/3108/3115/836/3113/958/3109/3689/942/27/3123/3122/3119/1756/1604/3127/5551/6641/3111/3112/3120	22
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	28/1346	99/9378	0.000228134265171514	0.00181988925170912	0.00133169283975716	629/3383/3108/3115/3113/3586/2358/3109/3689/727/3123/716/3122/715/3119/1675/3684/3127/2212/2359/714/2204/3111/712/3112/3075/3120/717	28
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	26/1346	91/9378	0.000316319241938316	0.00242518795002184	0.0017746164636537	7410/5970/5533/4792/4775/118788/23547/4790/4067/3635/27071/353514/10000/10859/11024/10288/8519/79168/930/971/55024/29760/4773/1380/84433/973	26
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	39/1346	157/9378	0.000317830899433061	0.00242518795002184	0.0017746164636537	5970/5533/4683/2309/4616/10912/4775/9261/1647/10758/7048/805/1017/1030/678/11200/1021/4790/5600/7157/5606/10000/1029/9133/1978/28996/2113/3576/9134/3486/894/5054/3710/8900/291/59341/4773/983/3552	39
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	65/1346	300/9378	0.000327004206823977	0.00244209524670672	0.00178698827469318	1326/5970/5533/9693/4216/4616/784/4217/10912/4775/51776/1847/2002/4791/10125/9261/1647/836/5156/7422/7048/5971/6196/5922/1849/4790/5058/5600/10454/5154/7039/7157/9175/5606/10000/23542/7124/3556/1846/56034/1843/773/80824/1844/3082/4293/1436/1969/55799/777/3310/5923/2069/1944/5159/5924/4804/356/374/1850/3164/4233/55970/1435/3552	65
Metabolism	Amino acid metabolism	hsa00260	Glycine, serine and threonine metabolism	15/1346	41/9378	0.000334982424435003	0.00244955897868096	0.00179244981495923	669/4128/2628/1757/102724560/314/875/501/26227/6470/8639/10993/55349/23464/4129	15
Human Diseases	Infectious disease: parasitic	hsa05144	Malaria	17/1346	50/9378	0.000377283007145616	0.00270257827567574	0.00197759513949582	3383/2995/958/3586/3689/7124/7097/5175/3082/3458/948/6347/3576/3606/1378/4233/7057	17
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	28/1346	103/9378	0.000466151280516408	0.00327238198922519	0.00239454552517902	5970/5332/4792/8837/1636/7048/3586/2769/5330/4790/5600/10000/6352/7124/7097/23236/3593/3458/6348/6347/714/712/3576/356/5054/2770/6349/414062	28
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	29/1346	109/9378	0.00054861647673482	0.00377577222223376	0.00276289825228681	941/1326/5970/4792/29110/958/7096/4790/3665/942/5600/10454/5606/10000/1513/6352/7124/6351/7097/3593/7100/6348/9560/388372/51284/3576/6349/414062/3627	29
