"GeneName"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ENSG00000182888"	0.311150777723019	0.229643600854902	0.438281529460442	-1.20127743412191	-0.526497711133266	5.45853569230839
"ENSG00000286431"	0.394952722704867	0.306783918315125	0.386741845468403	-1.02199362366706	-0.39524770007394	7.8548062808612
"ENSG00000101846"	0.00222949840595602	0.000759946598527609	0.174161708731373	-3.36698558763004	-0.586399963215555	269.222930545324
"ENSG00000101849"	0.707379819736155	0.634546980169657	0.17459624775822	0.475336734259357	0.08299201022333	1595.37169594869
"ENSG00000047644"	0.241276227860147	0.169322534572375	0.127533140172778	1.37438389084324	0.175279493402118	915.531584629629
"ENSG00000073464"	0.0687398558532052	0.038891041035405	0.485787643138147	-2.06533788805872	-1.00331562492396	200.791149129222
"ENSG00000004961"	0.472764411186626	0.382295424590996	0.0983579680923045	-0.873674714971563	-0.0859328697382263	553.490968875882
"ENSG00000005302"	1.44213122495305e-05	2.47214592139751e-06	0.105832650886817	4.71041359485684	0.498515557517001	1282.33959049315
"ENSG00000101911"	1.06267561096734e-06	1.26404448411995e-07	0.158616507075616	-5.28398377935731	-0.838127050525869	684.695009142374
"ENSG00000229083"	0.000614276050959223	0.000175477224907527	0.340576907107978	3.75193177163911	1.277821318465	19.9699669271219
"ENSG00000196664"	0.00063982332071312	0.000183625012447872	0.548502177057088	-3.74054041968836	-2.0516945635691	190.875557273719
"ENSG00000101916"	0.0153743877835995	0.00688096123844886	0.203979996474616	2.70255107233243	0.551266358206837	5165.49445125317
"ENSG00000205542"	0.0260321268866807	0.0126318821138439	0.203236407070015	-2.49398236220895	-0.506868014591336	40770.3201706236
"ENSG00000198759"	0.167496603149215	0.109982192073223	1.45823688944423	1.5982731865782	2.33066092007792	8.85272942037719
"ENSG00000176896"	0.615688203453921	0.53224561192915	0.136275548191632	-0.624581732775826	-0.0851152180245051	76.8453689031345
"ENSG00000123595"	0.886962527310458	0.855328926744732	0.145148022559408	0.182323411669742	0.026463882670148	799.862161691959
"ENSG00000046651"	0.193450234868263	0.130318158022727	0.13151319848367	1.51284845269672	0.198959538835216	406.695140998706
"ENSG00000233247"	0.23989847910737	0.168193286316324	0.133437233076445	1.3780323956248	0.183880829961878	81.7330141580467
"ENSG00000130150"	0.683430472415885	0.607112724856654	0.0991685460585205	0.514199203111337	0.0509923873570012	910.424763555563
"ENSG00000186312"	0.159688274962205	0.104086464150394	0.12984919609835	-1.62535722736725	-0.211051329346281	229.17557846075
"ENSG00000169239"	2.7329462998996e-06	3.71598955771472e-07	0.11703838583571	-5.08295950080814	-0.594901375242872	131.884898715054
"LRG_618"	1.52126037405413e-05	2.62299174097783e-06	0.155075025438325	-4.69832860487204	-0.72859342791814	378.797423187151
"ENSG00000169249"	1.58338975217512e-05	2.74881072187426e-06	0.154610304151589	-4.68874842388203	-0.724928819906685	390.311321158753
"ENSG00000126010"	0.701382417217163	0.628028470985183	0.256055646978821	-0.48450365507792	-0.12405989686458	12.7680461585965
"ENSG00000169895"	0.894704382241231	0.865510290167561	0.085399982828026	0.169364061124301	0.0144636879117001	701.516569175282
"ENSG00000086712"	0.000244441403162836	6.10409014392467e-05	0.0851835768354815	-4.00875036326839	-0.341479694583737	281.557561985793
"ENSG00000169891"	0.00405792481656152	0.00150495352184461	0.386146886409695	-3.17372664669968	-1.22552466293856	78.9609891552498
"ENSG00000188158"	0.154773073682631	0.100334492571316	0.422323144790922	1.64323417024142	0.693975822404257	149.940607495325
